idCadastrar_Produtos,Setor_Produtor,Codigo_do_Produto,Descricao_do_Produto,PesoRefungo,PesoEmbalagem
54,CORTE DE BOBINAS,80110,Bobina de 80mm por 110 metros ,5.052,0
55,CORTE DE BOBINAS,80360,Bobina de 80mm por 360 metros ,5.616,0
56,CORTE DE BOBINAS,7630,Bobina de 76mm por 30 metros ,3.272,0
57,IMPRESSÃO,1,Impressão de 01 Cor ,0,0
58,IMPRESSÃO,2,Impressão de 02 Cores,0,0
59,IMPRESSÃO,3,Impressão de 03 Cores ,0,0
60,CORTE DE BOBINAS,7640,Bobina de 76mm por 40 metros ,4.363,0
61,IMPRESSÃO,999,Lançado em Descartes Automatico,0,0
62,CORTE DE BOBINAS,998,Lançado em Descartes Automatico,0,0
63,CORTE DE A4,997,Lançado em Descartes Automatico,0,0
