Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
CORTE DE A4,19/12/2019,,1.00,,0.72,,-∞,,-∞,43.50,114.00,,0.72,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.03,,
CORTE DE BOBINAS,19/12/2019,,1.00,,1.02,,1.00,,1.02,-1.31,58.00,,1.02,,56.69,,,17.82,,0h,0,17,82,0,2,75,8:45,,,,,,,,0.00,,
IMPRESSÃO,19/12/2019,,1.00,,0.63,,0.99,,0.63,9393.08,16200.00,,0.63,,25593.08,,,11388.92,,0h,0,11.388,92,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE BOBINAS,20/12/2019,,1.00,,1.51,,0.97,,1.46,-36.68,109.00,,1.51,,72.32,,,22.74,,0h,0,22,74,0,2,75,8:45,,,,,,,,0.03,,
CORTE DE BOBINAS,06/01/2020,,1.00,,0.74,,1.00,,0.74,14.48,41.00,,0.74,,55.48,,,17.44,,0h,0,17,44,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,06/01/2020,,1.00,,0.77,,1.00,,0.77,5417.79,18300.00,,0.77,,23717.79,,,10554.42,,0h,0,10.554,42,0,3,89,8:45,,,,,,,,,,
CORTE DE BOBINAS,07/01/2020,,1.00,,1.05,,1.00,,1.05,-3.92,82.00,,1.05,,78.08,,,24.55,,0h,0,24,55,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,07/01/2020,,1.00,,0.62,,1.00,,0.62,8619.18,14200.00,,0.62,,22819.18,,,10154.53,,0h,0,10.154,53,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,08/01/2020,,0.69,,0.56,,1.00,,0.39,42.27,54.00,,0.39,,140.00,,,28.49,43.73,0h,0,28,49,2:44,2,59,6:01,,,,,,,,,,
CORTE DE BOBINAS,08/01/2020,,1.00,,1.12,,0.99,,1.11,-9.25,88.00,,1.12,,78.75,,,24.76,,0h,0,24,76,0,2,75,8:45,,,,,,,,0.01,,
IMPRESSÃO,08/01/2020,,1.00,,1.79,,0.99,,1.77,-6600.00,15000.00,,1.79,,8400.00,,,3738.00,,0h,0,3.738,00,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,09/01/2020,,1.00,,0.81,,-∞,,-∞,29.50,128.00,,0.81,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.01,,0.01
CORTE DE BOBINAS,09/01/2020,,1.00,,1.17,,0.99,,1.16,-11.23,77.00,,1.17,,65.77,,,20.68,,0h,0,20,68,0,2,75,8:45,,,,,,,,0.01,,
IMPRESSÃO,09/01/2020,,0.77,,0.61,,0.99,,0.46,10264.00,16000.00,,0.47,,34300.00,,,11687.48,8036.00,0h,0,11.687,48,2:03,3,89,6:42,,,,,,,,0.01,,
CORTE DE A4,10/01/2020,,0.99,,0.77,,-∞,,-∞,35.60,121.00,,0.77,,157.50,,,46.35,0.90,0h,0,46,35,0:03,2,59,8:42,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,10/01/2020,,1.00,,0.93,,0.99,,0.92,3.54,49.00,,0.93,,52.54,,,16.52,,0h,0,16,52,0,2,75,8:45,,,,,,,,0.01,,
